session_id,path,viewedAt,pageviewCount,browserName,deviceType,osName,city,country,region,trafficSource,referrerUrl,utmSource,utmMedium,utmCampaign,utmContent,timeOnPageMs
wix_104.7.219.117_5112026_15,/,2026-05-11T15:00:00Z,1,Safari,desktop,Mac OS,Austin,US,TX,direct,https://synozur.com/team,,,,,1000
wix_222.154.240.134_1222026_23,/post/claude-comes-inside-the-microsoft-365-boundary,2026-01-22T23:00:00Z,1,Safari,mobile,iOS,Auckland,NZ,AUK,organic,https://duckduckgo.com/,,,,,
wix_177.26.228.155_5312026_13,/case-studies/transforming-management-frameworks-at-microsoft,2026-05-31T13:00:00Z,1,Safari,mobile,iOS,São Paulo,BR,SP,direct,,chatgpt.com,,,,
wix_68.168.225.126_332026_10,/services-overview/default,2026-03-03T10:00:00Z,1,Chrome,desktop,Windows,Eagle Butte,US,SD,organic,https://google.com/,,,,,4000
wix_2.54.129.13_5142026_8,/polaris,2026-05-14T08:00:00Z,1,Chrome,mobile,Android,Tel Aviv,IL,TA,referral,https://chrismcnulty.net/,,,,,
wix_104.194.200.235_2232026_23,/post/claude-comes-inside-the-microsoft-365-boundary,2026-02-23T23:00:00Z,1,Chrome,desktop,Mac OS,Carney,US,MI,direct,,,,,,
wix_37.47.102.239_642026_3,/services-overview/default,2026-06-04T03:00:00Z,1,Chrome,desktop,Windows,Krakow,PL,12,direct,https://synozur.com/,,,,,
wix_90.221.125.125_3152026_2,/post/11-copilot-tips-to-supercharge-your-productivity,2026-03-15T02:00:00Z,1,Edge,desktop,Windows,Dundee,GB,DND,organic,https://bing.com/,,,,,
wix_109.196.161.98_2282026_3,/post/11-copilot-tips-to-supercharge-your-productivity,2026-02-28T03:00:00Z,1,Chrome,desktop,Windows,Madrid,ES,M,organic,https://bing.com/,,,,,
wix_165.225.240.109_4282026_0,/post/11-copilot-tips-to-supercharge-your-productivity,2026-04-28T00:00:00Z,1,Edge,desktop,Windows,Amsterdam,NL,NH,organic,https://bing.com/,,,,,
wix_80.192.36.73_3312026_3,/post/claude-comes-inside-the-microsoft-365-boundary,2026-03-31T03:00:00Z,1,Edge,desktop,Windows,Maidstone,GB,KEN,direct,,,,,,
wix_144.92.154.81_3232026_8,/post/introducing-microsoft-copilot-notebooks-a-quick-take,2026-03-23T08:00:00Z,1,Safari,mobile,iOS,Madison,US,WI,organic,https://bing.com/,,,,,
wix_162.254.169.241_3222026_9,/,2026-03-22T09:00:00Z,1,Chrome,desktop,Windows,Chicago,US,IL,direct,,,,,,
wix_50.47.248.147_222026_14,/,2026-02-02T14:00:00Z,1,Edge,desktop,Windows,Bothell,US,WA,direct,,,,,,
wix_73.97.161.197_3192026_11,/post/evaluating-the-cost-of-a-fractional-cio-understanding-fractional-cio-pricing,2026-03-19T11:00:00Z,1,Chrome,desktop,Mac OS,Bothell,US,WA,direct,,,,,,
